coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
SC-503,"Myrtle Beach, Sumter City & County CoC",1319.0,396.0,923.0,710.0,609.0,625.0,51.0,648.0,6.0,391209,362708,28501,905549,0,0.0,0.0,34206.36837763611,45411.86320437531,113760.39078607639,61.7
SD-500,South Dakota Statewide CoC,1036.0,900.0,136.0,662.0,373.0,403.0,16.0,87.0,3.0,413744,401795,11949,762933,0,0.0,0.0,50565.5218977289,69883.81066629228,115812.9055591167,45.54
TN-500,Chattanooga/Southeast Tennessee CoC,636.0,489.0,147.0,403.0,232.0,334.0,9.0,250.0,2.0,311553,294030,17523,683726,0,0.0,0.0,41005.60687907144,57345.94795589515,124536.32146929743,58.11
TN-501,Memphis/Shelby County CoC,1525.0,1447.0,78.0,965.0,558.0,371.0,5.0,1144.0,0.0,430892,403447,27445,937598,0,0.0,0.0,44908.0,31473.214381737558,100493.75535307801,58.11
TN-502,Knoxville/Knox County CoC,783.0,687.0,96.0,467.0,316.0,554.0,11.0,196.0,2.0,228904,218294,10610,451551,0,0.0,0.0,45515.0,71760.53215721346,153773.51796065882,58.11
TN-503,Central Tennessee CoC,268.0,209.0,59.0,132.0,136.0,148.0,0.0,120.0,0.0,533323,506400,26923,1140256,0,0.0,0.0,48406.05826323212,94590.35999864117,177825.58878297367,58.11
TN-504,Nashville-Davidson County CoC,2154.0,1684.0,470.0,1381.0,773.0,1088.0,84.0,1008.0,13.0,364944,349100,15844,680397,0,0.0,0.0,55872.0,108247.77528329096,187453.5175863791,58.11
TN-506,Upper Cumberland CoC,362.0,176.0,186.0,191.0,171.0,301.0,12.0,59.0,0.0,217781,204890,12891,498226,0,0.0,0.0,35731.11409280126,66366.72953540774,125552.31252771354,58.11
TN-507,Jackson/West Tennessee CoC,1563.0,151.0,1412.0,863.0,700.0,935.0,15.0,534.0,1.0,287385,267045,20340,667269,0,0.0,0.0,35335.44255615052,33640.59127515547,86150.48274211,58.10999999999999
TN-509,Appalachian Regional CoC,577.0,425.0,152.0,388.0,188.0,504.0,25.0,68.0,4.0,221524,208219,13305,506235,0,0.0,0.0,36314.38917893863,46743.17448339688,102684.55970658522,58.10999999999999
TN-510,Murfreesboro/Rutherford County CoC,289.0,169.0,120.0,178.0,111.0,214.0,4.0,68.0,0.0,155929,148996,6933,298401,0,0.0,0.0,38320.0,119630.56685782142,178181.3916499929,58.11
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",966.0,442.0,524.0,499.0,451.0,921.0,27.0,41.0,0.0,291976,274212,17764,659615,0,0.0,0.0,35620.25533076112,54600.96905453271,114609.44205825799,58.11
TX-500,San Antonio/Bexar County CoC,2891.0,1733.0,1158.0,1822.0,1063.0,2069.0,1273.0,660.0,10.0,879163,845395,33768,1894811,0,0.0,0.0,43103.0,75912.89654606885,147334.75415814127,65.97
TX-503,Austin/Travis County CoC,1832.0,1165.0,667.0,1188.0,641.0,1083.0,537.0,606.0,22.0,655919,634230,21689,1180003,0,0.0,0.0,59307.0,178756.99527135884,286168.8272845573,65.97
TX-600,"Dallas City & County, Irving CoC",3141.0,2778.0,363.0,1784.0,1336.0,1096.0,374.0,1875.0,32.0,1752124,1679725,72399,3472629,0,0.0,0.0,55099.235318831925,108266.69732553151,186113.0047675458,65.97
TX-601,"Fort Worth, Arlington/Tarrant County CoC",1914.0,1697.0,217.0,1183.0,730.0,864.0,265.0,923.0,26.0,59589,57095,2494,125691,0,0.0,0.0,50421.0,98275.06858434204,198156.3375470657,65.97
TX-603,El Paso City & County CoC,1107.0,1005.0,102.0,668.0,439.0,1000.0,706.0,76.0,4.0,341782,323955,17827,831382,0,0.0,0.0,33126.0,75761.05875192788,118412.55744938053,65.97
TX-604,Waco/McLennan County CoC,255.0,191.0,64.0,160.0,95.0,129.0,30.0,115.0,0.0,158758,151941,6817,358565,0,0.0,0.0,37493.08870079344,45988.02085382065,101847.73721562803,65.96999999999998
TX-607,Texas Balance of State CoC,7016.0,4090.0,2926.0,4415.0,2582.0,5189.0,3002.0,1432.0,28.0,4041450,3832263,209187,9105968,0,0.0,0.0,40006.201350476964,56759.92176191097,121585.44107200082,65.97
