coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,ec_county,child_ec_county,ec_grp_mem_county,ec_high_county,child_high_ec_county,ec_grp_mem_high_county,exposure_grp_mem_county,exposure_grp_mem_high_county,child_exposure_county,child_high_exposure_county,bias_grp_mem_county,bias_grp_mem_high_county,child_bias_county,child_high_bias_county,clustering_county,support_ratio_county,volunteering_rate_county,civic_organizations_county
CA-517,Napa City & County CoC,200.0,200.0,0.0,129.0,70.0,167.0,54.0,9.0,0.0,68555,64394,4161,136206,1911.0,1452.0,459.0,90608.0,588773.861785653,822109.2550060436,0.80387002,1.1099,0.90156001,1.49658,1.46505,1.56741,1.15949,1.36322,1.24265,1.31934,0.22245,-0.14979,0.10683,-0.11045,0.091959998,0.9825900199999998,0.051109999,0.01936
CA-518,Vallejo/Solano County CoC,397.0,397.0,0.0,222.0,173.0,163.0,57.0,164.0,18.0,200674,185789,14885,450350,6994.0,5245.0,1749.0,65448.0,424546.41043083573,532120.8299622867,0.87462997,1.21323,0.96376002,1.3875,1.4271599999999998,1.4457,1.08867,1.27452,1.2519200000000001,1.34798,0.11474,-0.13431001,0.03091,-0.058740001,0.087360002,0.96779001,0.0535,0.0089400001
CA-519,"Chico, Paradise/Butte County CoC",499.0,499.0,0.0,240.0,254.0,397.0,66.0,31.0,5.0,92217,85857,6360,206190,3122.0,2809.0,313.0,54694.0,236003.38410527314,371912.0429343351,0.80008,0.92039001,0.79416001,1.29895,1.1279,1.29203,0.85916001,1.11576,0.9477499699999999,1.0466501,0.075659998,-0.15798,0.02887,-0.077629998,0.097589999,0.98411,0.093960002,0.017240001
CA-520,Merced City & County CoC,835.0,380.0,455.0,206.0,174.0,289.0,190.0,58.0,7.0,115207,103311,11896,284458,3599.0,3023.0,576.0,46580.0,262852.45979421795,344168.5386955925,0.63156003,0.89232999,0.62795001,1.11006,1.16772,1.10717,0.74434,0.92870998,0.9564999900000001,1.0016299,0.15636,-0.19216,0.067089997,-0.16582,0.091959998,0.9815200000000001,0.036540002,0.0085399998
CA-521,"Davis, Woodland/Yolo County CoC",373.0,373.0,0.0,196.0,174.0,268.0,106.0,69.0,2.0,106662,100331,6331,213039,3036.0,2489.0,547.0,64468.0,391963.1653564098,535910.0166012713,0.81755,1.08104,0.87842,1.48822,1.4385400000000002,1.52332,1.03931,1.36092,1.1108299,1.2807,0.1548,-0.11933000000000002,0.02682,-0.12325,0.09506999699999999,0.96081001,0.071220003,0.018139999
CA-522,Humboldt County CoC,272.0,272.0,0.0,188.0,84.0,242.0,23.0,1.0,2.0,58907,55194,3713,134836,2081.0,1498.0,583.0,53607.0,243780.45636734125,370311.7904514941,0.81883001,0.89279002,0.76695001,1.1390001,1.02196,1.09536,0.78816998,0.95244002,0.91426998,0.94993001,0.02692,-0.15006,0.023490001,-0.075829998,0.10776,0.9897800099999999,0.10646,0.024180001
CA-523,"Colusa, Glenn, Trinity Counties CoC",140.0,140.0,0.0,58.0,82.0,128.0,43.0,0.0,0.0,27853,25339,2514,66638,411.0,377.0,34.0,48596.75369909061,212149.66272472453,314854.6291341379,0.641348221560371,0.7293432113978511,0.6517721488074373,1.1226409325009754,0.9113913275120803,1.142502381974249,0.7565174775955161,0.9515363792934962,0.7424982021282152,0.8074641164745341,0.1381400853867163,-0.20201587037426091,0.01884728729614334,-0.1242755382221405,0.11778017332452954,0.9936620342967976,0.08014011641863501,0.01652389678783877
CA-524,Yuba City & County/Sutter County CoC,1074.0,235.0,839.0,542.0,530.0,653.0,218.0,98.0,8.0,76355,69685,6670,182254,1991.0,1823.0,168.0,51175.55823191809,273386.9740458299,373962.4154851793,0.7191604513676518,0.903623415123948,0.737756846727973,1.186528702470179,1.170548562783807,1.2132930786704272,0.8455143736665315,1.0180356565499797,0.937600833957883,1.0674257138700936,0.12729977587410973,-0.19257539346187189,0.035167267347855184,-0.09643918490733812,0.09161342817736784,0.9738119544582835,0.05773191818970228,0.01050739561271632
CA-525,El Dorado County CoC,99.0,99.0,0.0,53.0,45.0,83.0,9.0,5.0,0.0,91879,86553,5326,193590,847.0,753.0,94.0,78525.0,411148.97960971296,609854.5408061463,1.01846,1.1982,1.0318201,1.49199,1.42002,1.5133300000000003,1.13413,1.33472,1.22497,1.35524,0.090219997,-0.13382,0.021849999,-0.047800001,0.087700002,0.96995002,0.10019,0.01701
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties CoC",151.0,151.0,0.0,68.0,82.0,126.0,23.0,7.0,0.0,63158,58884,4274,159535,640.0,604.0,36.0,54186.59775597831,266476.10525757645,380955.7442368308,0.9237859250770677,1.0740829964924938,0.9258635954618735,1.315949499791895,1.1598259188485285,1.3146238899927916,0.9883108251728461,1.1333771103738992,1.0838093310692951,1.0942036699141882,0.06231772536002131,-0.15994483391688347,0.008064294379093345,-0.06085350201385902,0.104189093991914,0.989877859268123,0.12169905192165982,0.02873457498626007
CA-527,Tehama County CoC,267.0,49.0,218.0,175.0,92.0,240.0,28.0,6.0,3.0,25616,23772,1844,65380,669.0,608.0,61.0,48042.0,161879.41225413964,287304.17423115624,0.64851999,0.85077,0.60674,1.09175,0.99656999,1.06849,0.67992997,0.86826998,0.86431998,0.88687003,0.10765,-0.23059,0.01567,-0.12369,0.094949998,0.98190999,0.096670002,0.01097
CA-529,Lake County CoC,306.0,75.0,231.0,198.0,105.0,220.0,55.0,10.0,0.0,28445,26275,2170,68584,478.0,415.0,63.0,46918.0,187280.1345650172,301854.1118710988,0.65311998,0.80712003,0.65204,1.12774,0.95182002,1.14177,0.73504001,0.97952002,0.77903003,0.88448,0.11292,-0.16565,-0.036060002,-0.076140001,0.10667,0.99138999,0.084639996,0.0177
