coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
NE-502,Lincoln CoC,449.0,405.0,44.0,251.0,197.0,250.0,35.0,135.0,3.0,179931,174823,5108,318403,4370.0,4020.0,350.0,50510.0,137899.15730298427,200295.84051793
NH-500,New Hampshire Balance of State CoC,669.0,574.0,95.0,351.0,309.0,580.0,45.0,29.0,2.0,535523,521980,13543,943045,13461.0,12643.0,818.0,64242.759311591704,187600.45326386788,276757.4386107776
NH-501,Manchester CoC,461.0,410.0,51.0,251.0,207.0,366.0,62.0,48.0,2.0,245015,238537,6478,417738,8076.0,7672.0,404.0,62752.0,217546.76129353663,304179.05957135174
NH-502,Nashua/Hillsborough County CoC,266.0,263.0,3.0,156.0,110.0,226.0,58.0,23.0,5.0,245015,238537,6478,417738,8076.0,7672.0,404.0,62752.0,217546.76129353663,304179.05957135174
NJ-500,Atlantic City & County CoC,357.0,261.0,96.0,259.0,98.0,165.0,49.0,168.0,8.0,125970,119780,6190,263653,7573.0,6815.0,758.0,51247.0,104072.77986773557,188208.85555151032
NJ-501,Bergen County CoC,271.0,267.0,4.0,142.0,128.0,160.0,75.0,92.0,10.0,502296,488074,14222,932256,11615.0,11150.0,465.0,88241.0,330989.4592267,465431.11618214566
NJ-502,Burlington County CoC,518.0,495.0,23.0,256.0,261.0,184.0,48.0,289.0,3.0,240757,233093,7664,446160,1773.0,1737.0,36.0,63528.0,141032.5352751794,231957.8298276919
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",979.0,760.0,219.0,622.0,355.0,467.0,137.0,480.0,2.0,535942,512997,22945,1039587,20996.0,19978.0,1018.0,54267.982002468285,106342.46347076591,191610.07152583048
NJ-504,Newark/Essex County CoC,2235.0,1897.0,338.0,1277.0,949.0,391.0,338.0,1787.0,2.0,386078,369373,16705,802162,34092.0,30682.0,3410.0,65927.0,225008.17923290306,383821.0875363911
NJ-506,"Jersey City, Bayonne/Hudson County CoC",890.0,623.0,267.0,603.0,286.0,387.0,292.0,480.0,11.0,376142,364173,11969,674030,23830.0,22400.0,1430.0,67570.0,262729.4317005044,425919.4004968782
NJ-507,New Brunswick/Middlesex County CoC,620.0,485.0,135.0,367.0,253.0,299.0,236.0,274.0,4.0,455419,441596,13823,824394,10236.0,9724.0,512.0,62665.0,222031.60621446036,332655.8843522794
NJ-508,Monmouth County CoC,359.0,305.0,54.0,214.0,145.0,190.0,89.0,149.0,1.0,341346,330796,10550,619687,10560.0,9609.0,951.0,82270.0,269188.85535072704,425497.14004781144
